0,OOO
1,OOO
2,OOO
3,OOO
4,OOO
5,OOO
6,OOO
7,OOO
8,OOO
9,OOO
10,OOO
11,OOO
12,OOO
13,OOO
14,OOO
15,OOO
16,OOO
17,OOO
18,OOO
19,OOO
20,OOO
21,OOO
22,OOO
23,OOO
24,OOO
25,OOO
26,Loyal Heights
27,Adams
28,Whittier Heights
29,West Woodland
30,Phinney Ridge
31,Wallingford
32,Fremont
33,Green Lake
34,View Ridge
35,Ravenna
36,Sand Point
37,Bryant
38,Windermere
39,Laurelhurst
40,Roosevelt
41,University District
42,East Queen Anne
43,West Queen Anne
44,Lower Queen Anne
45,North Queen Anne
46,Westlake
47,Eastlake
48,South Lake Union
49,Lawton Park
50,Briarcliff
51,Southeast Magnolia
52,Madrona
53,Harrison/Denny-Blaine
54,Minor
55,Leschi
56,Mann
57,Atlantic
58,Pike-Market
59,Belltown
60,International District
61,Central Business District
62,First Hill
63,Yesler Terrace
64,Pioneer Square
65,Interbay
66,Industrial District
67,Georgetown
68,South Park
69,Harbor Island
70,Seaview
71,Gatewood
72,Arbor Heights
73,Alki
74,North Admiral
75,Fairmount Park
76,Genesee
77,Fauntleroy
78,North Beacon Hill
79,Mid-Beacon Hill
80,South Beacon Hill
81,Holly Park
82,Brighton
83,Dunlap
84,Rainier Beach
85,Rainier View
86,Mount Baker
87,Columbia City
88,Highland Park
89,North Delridge
90,Riverview
91,High Point
92,South Delridge
93,Roxhill
94,Seward Park
95,Wedgwood
96,Portage Bay
97,Montlake
98,Madison Park
99,Broadway
100,Stevens
101,Victory Heights
102,Matthews Beach
103,Matthews Beach
104,Meadowbrook
105,Olympic Hills
106,Cedar Park
107,Industrial District
108,Industrial District
109,
110,
111,Broadview
112,Bitter Lake
113,Haller Lake
114,Pinehurst
115,North Beach/Blue Ridge
116,North College Park
117,Maple Leaf
118,Crown Hill
119,Greenwood
120,Sunset Hill
